Today's Date:	20 May 2019	Date of Test:	17 May 2019, 09:09:25 AM
Filename:	AA	Tester Channel:	2
Procedure:	BB	Description:	AA
Comment:	AA Stored @ 25°C Test @ 25° Initial test
Rec	Cycle	Step	Test Time (sec)	Step Time (sec)	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	ACImp/Ohms	DCIR/Ohms	Aux #1	 Units	VAR2	VAR5	VAR8	VAR11	VAR14	
102	1	4	985.3798	685.3816	0.33297	1.242052	1.749905	3.767605	C	1	05/17/2019 9:25:50 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
103	1	4	995.3802	695.382	0.337831	1.260369	1.749981	3.768521	C	1	05/17/2019 9:26:00 AM	0.00000	0.00000	25.43669	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
104	1	4	1,005.3806	705.3824	0.342692	1.278691	1.749828	3.769589	C	1	05/17/2019 9:26:10 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
105	1	4	1,015.381	715.3828	0.347553	1.297018	1.749905	3.770657	C	1	05/17/2019 9:26:20 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
106	1	4	1,025.3814	725.3832	0.352415	1.315351	1.749981	3.771725	C	1	05/17/2019 9:26:30 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
107	1	4	1,035.3818	735.3836	0.357276	1.333688	1.749981	3.772793	C	1	05/17/2019 9:26:40 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
108	1	4	1,045.3822	745.384	0.362137	1.35203	1.750057	3.773709	C	1	05/17/2019 9:26:50 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
109	1	4	1,055.3826	755.3844	0.366998	1.370377	1.750057	3.774777	C	1	05/17/2019 9:27:00 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
110	1	4	1,065.383	765.3848	0.371859	1.38873	1.749981	3.775845	C	1	05/17/2019 9:27:10 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
111	1	4	1,075.3834	775.3852	0.37672	1.407088	1.749828	3.776913	C	1	05/17/2019 9:27:20 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
112	1	4	1,085.3838	785.3856	0.381582	1.425451	1.749905	3.777829	C	1	05/17/2019 9:27:30 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
113	1	4	1,095.3842	795.386	0.386443	1.443819	1.749905	3.778897	C	1	05/17/2019 9:27:40 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
114	1	4	1,105.3846	805.3864	0.391304	1.462191	1.749981	3.779812	C	1	05/17/2019 9:27:50 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
115	1	4	1,115.385	815.3868	0.396165	1.48057	1.750134	3.781033	C	1	05/17/2019 9:28:00 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
116	1	4	1,125.3854	825.3872	0.401026	1.498953	1.749905	3.782254	C	1	05/17/2019 9:28:10 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
117	1	4	1,135.3858	835.3876	0.405888	1.517342	1.749905	3.783169	C	1	05/17/2019 9:28:20 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
118	1	4	1,145.3862	845.388	0.410749	1.535735	1.749905	3.784237	C	1	05/17/2019 9:28:30 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
119	1	4	1,155.3866	855.3884	0.41561	1.554133	1.750134	3.785306	C	1	05/17/2019 9:28:40 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
120	1	4	1,165.387	865.3888	0.420471	1.572537	1.750057	3.786526	C	1	05/17/2019 9:28:50 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
121	1	4	1,175.3874	875.3892	0.425332	1.590947	1.749905	3.787442	C	1	05/17/2019 9:29:00 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
122	1	4	1,185.3878	885.3896	0.430193	1.609361	1.750057	3.78851	C	1	05/17/2019 9:29:10 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
123	1	4	1,195.3882	895.39	0.435055	1.627781	1.749828	3.789578	C	1	05/17/2019 9:29:20 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
124	1	4	1,205.3886	905.3904	0.439916	1.646205	1.750134	3.790646	C	1	05/17/2019 9:29:30 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
125	1	4	1,215.389	915.3908	0.444777	1.664635	1.749828	3.791867	C	1	05/17/2019 9:29:40 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
